Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
Vol55-Ullrich.pdf,Is this video real? The principal mischief of deepfakes and how the Lanham Act can address it,QJ Ullrich,"Digital media manipulation for deception, identity theft, privacy concerns",Artificially generated videos that substitute one person's likeness with another to deceive viewers,Original-to-Target Transfer,"The paper discusses deepfakes focused on face swapping, where identities are substituted between individuals.",Deceptive,The intent is deceptive as these deepfakes are used for fraud and identity theft purposes.,Visual,The focus is on video-based visual manipulation to achieve the intended deception.,Targeted Attribute,No reasoning provided,26,2021,Colum. JL &Soc. Probs.,HeinOnline,"https://scholar.google.com/scholar?q=related:h6VKxJ8nULYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Quantum_Transfer_Learning_Approach_for_D.pdf,Quantum transfer learning approach for deepfake detection,"B Mishra, A Samanta",Authenticity verification in social media and official communications,Deepfakes are artificially generated images that manipulate faces to deceive or impersonate individuals.,Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,8,2022,… Artificial Intelligence and Quantum Computing …,academia.edu,"https://scholar.google.com/scholar?q=related:Wcbo8aHjq3AJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
BTXZ83QE_Jones - 2020 - Artificial intelligence enabled deepfake technology The emergence of a new threat.pdf,Artificial intelligence enabled deepfake technology: The emergence of a new threat,VA Jones,"Entertainment (movies), Social media, Identity theft/fraud, Political manipulation, Pornography, Education, Art/creativity",Deepfakes are AI-generated fake content that manipulate identities or attributes to deceive users.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, which fall under original-to-target transfer.",Deceptive,The intent is primarily for malicious purposes such as fraud and identity theft.,Visual,The paper focuses on video-based visual deepfakes.,Holistic,"The deepfakes involve complete identity replacement, which is holistic manipulation.",26,2020,,search.proquest.com,"https://scholar.google.com/scholar?q=related:c2yCldvXTDwJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Is_It_Live_or_Is_It_Deepfake.pdf,"Is it live, or is it deepfake?","N Kshetri, JF DeFranco, J Voas","['Medical Industry', 'Entertainment', 'Education']",Deepfakes are AI-generated digital content that mimics real-world information with high realism.,Original-to-Target Transfer,"The paper discusses face swapping (original-to-target transfer) and voice cloning, which involves replacing identities.",Both Deceptive and Non-deceptive,Deepfakes are used for both legitimate medical purposes and malicious fraud.,Visual,The examples include videos in the medical field and audio in voice cloning.,Targeted Attribute,"The paper focuses on specific attribute changes, such as age or impersonation.",3,2023,Computer,computer.org,"https://scholar.google.com/scholar?q=related:1NCeP0ru0s8J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
R56BUB7S_Kim et al. - 2022 - A deepfake-based deep learning algorithm for medical data manipulation detection.pdf,A deepfake-based deep learning algorithm for medical data manipulation detection,"YS Kim, HJ Song, J Han",Healthcare and medical imaging,Deepfakes created using advanced algorithms to manipulate medical images for fraudulent purposes.,Original-to-Target Transfer,"The paper discusses deepfakes involving alterations in medical images using U-Net and Cycle GAN, which typically involve face swapping or holistic transformations.",Deceptive,"The intent is to detect these manipulations for fraud prevention, hence non-deceptive.",Visual,The focus is on visual data (images) used in medical diagnostics.,Targeted Attribute,The models handle full face transformations rather than specific attribute changes.,7,2022,Journal of System and Management Sciences,aasmr.org,"https://scholar.google.com/scholar?q=related:7rysrEUoqekJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
MUT25BWM_Pavis - 2021 - Rebalancing our regulatory response to Deepfakes with performers' rights.pdf,Rebalancing our regulatory response to Deepfakes with performers' rights,M Pavis,Entertainment and social media,"Synthetic performances created using AI systems, often involving face swapping or identity replacement.",Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,38,2021,Convergence,journals.sagepub.com,"https://scholar.google.com/scholar?q=related:8IzdQQ0z7k4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ZSKGUBXX_Sohrawardi et al. - 2019 - Poster Towards robust open-world detection of deepfakes.pdf,Poster: Towards robust open-world detection of deepfakes,"SJ Sohrawardi, A Chintha, B Thai, S Seng…",News/Media,AI-enhanced media used for deception or fake announcements,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,64,2019,Proceedings of the …,dl.acm.org,"https://scholar.google.com/scholar?q=related:iJ--ltPDfyIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
73N8998A_Dhanaraj and Sridevi - 2023 - Face warping deepfake detection and localization in a digital video using transfer learning approach.pdf,Face warping deepfake detection and localization in a digital video using transfer learning approach,"R Dhanaraj, M Sridevi",Surveillance and security to detect fake content,AI-generated videos with face warping used for deception,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are altered from one person to another.,Deceptive,"The intent is to detect and localize these deepfakes, which are used for deceptive purposes in surveillance.",Visual,The focus is on video-based visual content where faces are warped.,Holistic,The deepfakes involve complete face replacement rather than specific attribute changes.,5,2023,Journal of Metaverse,dergipark.org.tr,"https://scholar.google.com/scholar?q=related:SclSrDMXqQ4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
GLNCITX2_Durï¿½ï¿½es et al. - 2023 - The relevance of deepfakes in the administration of criminal justice,The relevance of deepfakes in the administration of criminal justice,"D Durães, PM Freitas, P Novais","Fraud detection, identity theft within law enforcement",Deepfakes are artificial face swaps or identity alterations used to impersonate individuals.,Original-to-Target Transfer,The paper discusses deepfakes involving face swapping for identity transfer in criminal justice.,Deceptive,The focus is on using these deepfakes for fraudulent purposes within law enforcement.,Visual,"The paper focuses on visual media, specifically images used in law administration.",Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,4,2023,… Artificial Intelligence and the Law,library.oapen.org,"https://scholar.google.com/scholar?q=related:qq4RujoRvRQJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
MT8RVZHB_Alkishri et al. - 2024 - Evaluating the Effectiveness of a Gan Fingerprint Removal Approach in Fooling Deepfake Face Detectio.pdf,Evaluating the Effectiveness of a Gan Fingerprint Removal Approach in Fooling Deepfake Face Detection,"W Alkishri, S Widyarto, JH Yousif",Face detection and deepfake detection,"Deepfakes are images generated by GANs that mimic real-world faces or scenes, often used to deceive systems into believing they are authentic.",Original-to-Target Transfer,"The paper discusses deepfakes focused on face detection, involving identity transfer between different individuals.",Non-deceptive,The intent is to evaluate methods for detecting deepfakes rather than using them for malicious purposes.,Visual,"The focus is on visual media, specifically images used in face and deepfake detection.",Holistic,"The manipulation involves replacing entire faces or significant identity components, indicating holistic changes.",14,2024,Journal of Internet Services and …,jisis.org,"https://scholar.google.com/scholar?q=related:mNlWshg8G2MJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ZWBBKX8I_Siegel et al. - 2022 - Forensic data model for artificial intelligence based media forensics-Illustrated on the example of.pdf,Forensic data model for artificial intelligence based media forensics-Illustrated on the example of DeepFake detection,"D Siegel, C Krätzer, S Seidlitz, J Dittmann",DeepFake detection,"AI-generated manipulations used for fraudulent purposes, such as face swapping to deceive",Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,14,2022,Electronic Imaging,library.imaging.org,"https://scholar.google.com/scholar?q=related:wyQavC4wZlUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
S34YV4JD_Kï¿½ï¿½lï¿½ï¿½ï¿½ï¿½ and Kahraman - 2023 - Current usage areas of deepfake applications with artificial intelligence te,Current usage areas of deepfake applications with artificial intelligence technology,"B Kılıç, ME Kahraman","Entertainment (movies), Social media, Fun apps",Deepfakes are AI-generated manipulations that involve realistic identity replacement or attribute modification.,Original-to-Target Transfer,"The paper discusses deepfakes used for identity replacement, such as face swapping in movies.",Non-deceptive,Deepfakes are primarily used for entertainment and manipulation within legitimate contexts.,Visual,The applications mentioned involve visual media like images or videos.,Holistic,"The examples provided focus on modifying specific attributes, such as faces in movies.",9,2023,İletişim ve Toplum Araştırmaları Dergisi,dergipark.org.tr,"https://scholar.google.com/scholar?q=related:y3b2sJ8k_GkJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ILR-110-Overton.pdf,Overcoming racial harms to democracy from artificial intelligence,S Overton,"Synthetic video and audio ('deepfakes') for disinformation, election manipulation, surveillance, etc.",Artificially generated synthetic video and audio used to deceive or manipulate public perception.,Original-to-Target Transfer,The paper discusses deepfakes involving synthetic video and audio used to replace or alter identities.,Deceptive,"The applications include manipulation for fraud, disinformation, and election interference, classified as deceptive.",Visual,The focus is on visual media such as videos.,Holistic,The deepfakes involve complete identity replacement.,9,2024,Iowa L. Rev.,HeinOnline,"https://scholar.google.com/scholar?q=related:kbvawiCDHp0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
AssessingtheeffectivenessofnetworksecuritytoolsinmitigatingtheimpactofdeepfakesAIonpublictrustinmedia.pdf,Assessing the effectiveness of network security tools in mitigating the impact of deepfakes AI on public trust in media,"AD Samuel-Okon, OI Akinola, OO Olaniyi…","Primarily focused on mitigating public trust issues caused by deepfakes through network security measures, not specific applications like entertainment or identity theft.","AI-generated content used to deceive and spread false information, often mimicking real identities.",Original-to-Target Transfer,The paper discusses AI-generated content where identities are swapped between individuals (face swapping),Deceptive,"The goal is to prevent the spread and impact of deepfakes, which is non-deceptive in nature.",Visual,"The focus is on visual media across social platforms like Instagram, Facebook, YouTube, and Twitter.",Holistic,"Network access controls, URL filtering, content-type analysis, and Geo-IP blocking are broad measures targeting multiple aspects of deepfake propagation.",50,2024,Available at SSRN …,papers.ssrn.com,"https://scholar.google.com/scholar?q=related:DejwRfZNlb4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
UPISUPG2_Godulla et al. - 2021 - Dealing with deepfakesï¿½ï¿½ï¿½an interdisciplinary examination of the state of research and implications ,Dealing with deepfakes–an interdisciplinary examination of the state of research and implications for communication studies,"A Godulla, CP Hoffmann, D Seibert","['Political disinformation', ' Pornographic applications', 'Journalistic practices']","Deepfakes are AI-generated videos that realistically swap or replace faces between individuals, often used for deception or harmful purposes.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and realistic transformations, which fall under original-to-target transfer.",Non-deceptive,The primary intent is for communication studies focusing on legitimate uses like political manipulation and pornographic content.,Visual,The focus is on visual media through videos.,Holistic,The deepfakes involve complete identity transformations.,81,2021,SCM Studies in …,nomos-elibrary.de,"https://scholar.google.com/scholar?q=related:5wtetLWPOKwJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
894EUNW4_Mankoo - 2023 - DeepFakes-The Digital Threat in the Real World.pdf,DeepFakes-The Digital Threat in the Real World,SS Mankoo,Politics and social deception,"Artificially generated videos used to impersonate people or spread false information, often with realistic features.",Original Modification,"The paper discusses deepfakes involving face swapping and attribute modifications, such as changing expressions.",Deceptive,The intent is to deceive for purposes like fraud and political manipulation.,Visual,The focus is on video-based visual content.,Targeted Attribute,The examples involve altering specific attributes like expressions without full identity replacement.,2,2023,gmj,gjimt.ac.in,"https://scholar.google.com/scholar?q=related:HWuBmeXUmxQJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
MKPWJGT5_Moreira et al. - 2024 - Synthetic realities and artificial intelligence-generated contents.pdf,Synthetic realities and artificial intelligence-generated contents,"D Moreira, S Marcel, A Rocha","['Entertainment (movies, social media)', 'Education', 'Questionable manipulation']",Artificially generated content that creates synthetic identities or manipulates existing ones for various purposes.,Complete Synthesis,"The paper discusses models generating completely new faces, replacing entire identities.",Both Deceptive and Non-deceptive,The applications include both legitimate purposes like education and questionable uses like deception.,Visual,The focus is on visual content such as images and videos.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,2,2024,IEEE Security &Privacy,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:tX-Mjxr6kJQJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
BUYQYQL3_Chen - 2024 - Exploring the effect of deepfake-based advertising on consumers' attitudes and behaviors.pdf,Exploring the effect of deepfake-based advertising on consumers' attitudes and behaviors,Y Chen,Marketing,Highly realistic fake content generated by AI technologies like machine learning (ML) and deep neural networks (DNNs),Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,2,2024,,tamiu.edu,"https://scholar.google.com/scholar?q=related:z41rIErgrGIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
EBW34HZ8_Altaei - 2023 - Detection of deep fake in face images based machine learning.pdf,Detection of deep fake in face images based machine learning,MSM Altaei,"Entertainment (social media), Security (fraud prevention)","Deepfakes are face images where identities have been swapped or replaced to deceive, often used for fraud and identity theft.",Original-to-Target Transfer,"The paper discusses deepfakes in the context of face swapping for fraudulent purposes, fitting the original-to-target transfer category.",Deceptive,"Deepfakes are used to deceive and commit fraud, aligning with deceptive intent.",Visual,The focus is on visual media such as images and videos used for detection.,Targeted Attribute,"The deepfakes involve targeted attribute manipulation, specifically identity replacement.",14,2023,Al-Salam Journal for Engineering and …,journal.alsalam.edu.iq,"https://scholar.google.com/scholar?q=related:HZ4Cxz0lFQEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
DEEPFAKE-IMAGE-DETECTION-METHODS-USING-DISCRETE-FOURIER-TRANSFORM-ANALYSIS-AND-CONVOLUTIONAL-NEURAL-NETWORK.pdf,Deepfake image detection methods using discrete fourier transform analysis and convolutional neural network,"W Alkishri, M Al-Bahri",Security and fraud prevention,"Deepfakes are images created using deep learning models that can be mistaken for real content, often used for fraudulent purposes.",Original-to-Target Transfer,"The paper discusses detection methods focusing on identifying deepfakes, which often involve face swapping or identity manipulation.",Deceptive,The intent is to detect and prevent the use of deepfakes for fraudulent purposes.,Visual,The focus is on visual media through image analysis.,Holistic,"The detection involves holistic transformations, as Fourier transforms analyze high-frequency components indicative of complete identity changes.",10,2023,Journal of Jilin University (Engineering …,researchgate.net,"https://scholar.google.com/scholar?q=related:LJy9H69CwiYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
H23C5FVJ_Balasubramanian et al. - 2022 - Deep fake detection using cascaded deep sparse auto-encoder for effective feature selection.pdf,Deep fake detection using cascaded deep sparse auto-encoder for effective feature selection,"SB Balasubramanian, P Prabu…","Entertainment (movies, social media), identity theft/fraud, political manipulation, pornography",AI-generated fake images or videos used to deceive,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,41,2022,PeerJ Computer …,peerj.com,"https://scholar.google.com/scholar?q=related:nbPQvTDFCUUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
079D1DC4-5713-11EF-9DF0-88578885FD38.pdf,Classification of attack mechanisms and research of protection methods for systems using machine learning and artificial intelligence algorithms,"I Volodin, M Putyato, A Makaryan…","Entertainment (movies, social media, fun apps)",Artificially generated face swaps for deceptive purposes in entertainment and social media contexts,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping between individuals, which is a form of identity transfer from one person to another.",Deceptive,The focus on malicious impersonation and identity theft indicates the primary intent is deception for harmful purposes.,Visual,The applications discussed are primarily in visual media like social media posts or entertainment content.,Holistic,The deepfakes involve complete replacement of identities rather than specific attribute changes.,3,2021,AIP Conference …,pubs.aip.org,"https://scholar.google.com/scholar?q=related:4c9YDeCMrjEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"U82ZPBJT_Sudarsan et al. - 2024 - Deepfake Characterization, Propagation, and Detection in Social Media-A Synthesis Review.pdf","Deepfake Characterization, Propagation, and Detection in Social Media-A Synthesis Review","A Sudarsan, HN Chua, MB Jasser…","Social media, entertainment (movies), identity theft/fraud, political manipulation, pornography, education",Artificially generated content that realistically manipulates media to deceive or mislead,Original-to-Target Transfer,"The paper discusses deepfakes involving identity manipulation, such as face swapping (Aï¿½ï¿",Non-deceptive,The review focuses on understanding and combating deepfakes rather than their malicious use,Visual,Deepfakes in social media are primarily visual content like images and videos,Holistic,"The deepfakes involve complete identity replacement, not just attribute changes",4,2024,2024 20th IEEE …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:hmecmKtmo0wJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"TRWZHB9R_Choi - 2021 - 7 revealing ways AIs fail Neural networks can be disastrously brittle, forgetful, and surprisingly.pdf","7 revealing ways AIs fail: Neural networks can be disastrously brittle, forgetful, and surprisingly bad at math",CQ Choi,"AI systems used for detecting cancer, decision-making, etc., but the paper focuses on AI failures in general.","Deepfakes discussed involve image manipulation leading to AI failures, such as face swapping and identity replacement.",Mixed Types,The paper discusses specific attribute changes like age and expression in image manipulations.,Deceptive,"AI failures can be used maliciously, such as in accidents or fraud.",Visual,"The examples provided are images, focusing on visual deepfakes.",Targeted Attribute,The paper mentions specific attribute changes like age and expression.,62,2021,IEEE Spectrum,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:vJu_XWSQWS0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
E8V7NUB4_Ikram et al. - 2023 - A performance enhancement of deepfake video detection through the use of a hybrid CNN Deep learning.pdf,A performance enhancement of deepfake video detection through the use of a hybrid CNN Deep learning model,"ST Ikram, S Chambial, D Sood","Security and surveillance, social media monitoring","Deepfakes used for detection purposes involve AI models identifying manipulated videos, often in security contexts like fraud prevention or identity verification.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity alterations, classified as original-to-target transfer.",Deceptive,The focus is on using deepfakes for detection challenges aimed at deceptive purposes like fraud prevention.,Visual,The deepfakes in question are video-based visual manipulations used for security applications.,Targeted Attribute,No reasoning provided,29,2023,International journal of electrical …,hrcak.srce.hr,"https://scholar.google.com/scholar?q=related:MlE8wnu50DYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
9XETHTY2_Cardaï¿½ï¿½-Rï¿½ï¿½duï¿½ï¿½a - 2024 - The effectiveness and limitations of artificial intelligence in jo,The effectiveness and limitations of artificial intelligence in journalism,DL Cardaș-Răduța,"Automated journalism, AI-generated news anchors, AI-based fake news detection",Not explicitly defined but inferred from context related to detecting fake news,Mixed Types,The paper focuses on AI applications in journalism without discussing identity manipulation techniques used in deepfakes,Non-deceptive,"The focus is on AI's effectiveness in journalism, implying non-deceptive use for accurate reporting",Visual,"Discussed in the context of news anchors and fake news detection, which are textual or visual media types",Both Targeted and Holistic,Not applicable as the paper doesn't discuss specific manipulation levels related to deepfakes,5,2024,Saeculum,ceeol.com,"https://scholar.google.com/scholar?q=related:TLMcrMHsCPYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
GLA6C998_Lï¿½ï¿½pez - 2022 - Tragic Realism How to regulate Deepfakes in Colombia,Tragic Realism: How to regulate Deepfakes in Colombia?,JFR López,"Political manipulation, disinformation, misinformation","Deepfakes are videos that use artificial intelligence and machine learning to create fake images or identities which can be used to spread false information, particularly for political purposes.",Original-to-Target Transfer,"The paper discusses deepfakes used in altering election identities, which involves swapping or replacing entire identities.",Deceptive,"Deepfakes are primarily used for political manipulation and disinformation, classified as deceptive.",Visual,The focus is on video-based visual content used in elections.,Holistic,The deepfakes involve complete identity replacement.,11,2022,Latin American Law Review,revistas.uniandes.edu.co,"https://scholar.google.com/scholar?q=related:FbY2_ol_XE4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
CXFD6J5B_Gï¿½ï¿½laï¿½ï¿½tï¿½ï¿½ and Kahraman - 2021 - The impact of artificial intelligence on photography and painting in the post-truth era and ,The impact of artificial intelligence on photography and painting in the post-truth era and the issues of creativity and authorship,"IE Gülaçtı, ME Kahraman",Visual arts (photography and painting),"AI-generated alterations to existing artworks, challenging traditional notions of authorship and creativity",Original-to-Target Transfer,"The paper discusses AI alterations in photography and painting, focusing on identity and style transfer",Non-deceptive,"The authors critique AI's role in art, suggesting it undermines traditional authorship concepts",Visual,The focus is on visual media such as photographs and paintings,Holistic,The alterations involve transforming entire images or styles rather than specific attributes,20,2021,Medeniyet Sanat Dergisi,dergipark.org.tr,"https://scholar.google.com/scholar?q=related:dlDf-Zf8umUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"ADEWFJI5_Koï¿½ï¿½ak and Alkan - 2022 - Deepfake generation, detection and datasets a rapid-review","Deepfake generation, detection and datasets: a rapid-review","A KoÇak, M Alkan",Deceptive,"Artificially generated images or videos created using deep learning to mimic real content, often used for deception.",Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between individuals, fitting the original-to-target transfer category.",Deceptive,The focus on detection and evaluation suggests these deepfakes are used for malicious purposes like identity theft or fraud.,Visual,The paper primarily focuses on visual media such as images and videos.,Holistic,"Face swapping involves replacing entire identities, indicating a holistic approach.",8,2022,2022 15th International conference on …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:ixq1MHXM1ZwJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
4JPWURHR_Shin and Lee - 2022 - The effect of deepfake video on news credibility and corrective influence of cost-based knowledge ab.pdf,The effect of deepfake video on news credibility and corrective influence of cost-based knowledge about deepfakes,"SY Shin, J Lee",Spreading disinformation in fake news articles,Artificially generated videos that realistically swap faces between people to create false identities or scenarios.,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, fitting the original-to-target transfer category.",Deceptive,"The study focuses on how these deepfakes affect news credibility and whether they can be influenced by knowledge about their low production cost, indicating deceptive intent for spreading disinformation.",Visual,The paper primarily discusses video-based visual deepfakes as the medium of manipulation.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,51,2022,Digital Journalism,Taylor &Francis,"https://scholar.google.com/scholar?q=related:7-T1BH_AJfEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
68RE5XHP_Karakï¿½ï¿½se et al. - 2024 - A New Approach for Deepfake Detection with the Choquet Fuzzy Integral,A New Approach for Deepfake Detection with the Choquet Fuzzy Integral,"M Karaköse, İ İlhan, H Yetiş, S Ataş","Entertainment (movies, social media) and misuse in critical areas like politics and companies",Deepfakes are artificial videos or images that trickily replace parts of real content to deceive viewers.,Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,4,2024,Applied Sciences,mdpi.com,"https://scholar.google.com/scholar?q=related:htBIW2VCRIkJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Geng-Deepfakes.pdf,"Comparing"" Deepfake"" Regulatory Regimes in the United States, the European Union, and China",Y Geng,"Entertainment (movies, social media), identity theft/fraud, political manipulation, pornography, education","Artificially generated content used for various purposes including entertainment, fraud, and manipulation.",Original-to-Target Transfer,The paper discusses deepfakes involving face swapping (original-to-target transfer) for regulatory purposes.,Deceptive,"The focus is on regulations rather than malicious intent, hence non-deceptive.",Visual,"Deepfakes in this context are primarily visual, focusing on images and videos.",Targeted Attribute,The paper discusses targeted attribute manipulation such as face swapping.,12,2023,Geo. L. Tech. Rev.,HeinOnline,"https://scholar.google.com/scholar?q=related:gTKDb_2mziIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
JSTKF6XJ_Powers et al. - 2023 - To tell or not to tell The effects of disclosing deepfake video on US and Indian consumers' purchas.pdf,To tell or not to tell: The effects of disclosing deepfake video on US and Indian consumers' purchase intention,"G Powers, JP Johnson, G Killian",Marketing,Synthetic video avatars used in marketing contexts to create realistic appearances of individuals.,Original-to-Target Transfer,"The paper discusses synthetic video avatars where identities are swapped, fitting the Original-to-Target Transfer category.",Non-deceptive,"The study focuses on how revealing these deceptive elements affects consumer purchase intentions, classified as Deceptive.",Visual,"The paper centers on video-based content, hence Visual modality.",Holistic,"The deepfakes involve complete identity transformation, categorized as Holistic.",9,2023,Journal of Interactive Advertising,Taylor &Francis,"https://scholar.google.com/scholar?q=related:Y75oDnWLfjMJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
TLWI5AFV_Xu et al. - 2024 - RLGC Reconstruction learning fusing gradient and content features for efficient deepfake detection.pdf,RLGC: Reconstruction learning fusing gradient and content features for efficient deepfake detection,"K Xu, X Hu, X Zhou, X Xu, L Qi…",Primarily focused on improving detection methods for existing deepfakes rather than their applications in specific domains like entertainment or identity theft.,Not explicitly defined but inferred to involve the use of gradient and content features for detection purposes.,Mixed Types,"The paper does not specify the type of deepfakes but focuses on detection methods using gradient and content features, which could be applied to various types of deepfakes.",Both Deceptive and Non-deceptive,The focus is on enhancing detection techniques rather than addressing specific applications or purposes of deepfakes.,Visual,The paper deals with visual data (images) and their features for detection.,Holistic,The use of face content and gradient features suggests a holistic approach to analyzing entire faces.,7,2024,IEEE Transactions on …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:61turlfIOLcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
AGIQGFY9_ï¿½ï¿½abuz and Nehring - 2024 - On the way to deep fake democracy Deep fakes in election campaigns in 2023,On the way to deep fake democracy? Deep fakes in election campaigns in 2023,"M Łabuz, C Nehring","Political manipulation, disinformation in elections",Deepfakes are used to manipulate public opinion and spread disinformation during election campaigns.,Original-to-Target Transfer,"The paper discusses deepfakes used for political manipulation, particularly face swapping to alter identities in election contexts.",Deceptive,Deepfakes are primarily used to spread disinformation and manipulate public perception during elections.,Visual,The paper focuses on visual media such as images and videos used in election campaigns.,Holistic,The deepfakes discussed involve complete identity replacement rather than specific attribute changes.,31,2024,European Political Science,Springer,"https://scholar.google.com/scholar?q=related:4kxxsnfEfjsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
